empresa,faturamento_empresa_brl,produto,tipo_cliente,mercado_principal,indice_concorrencia_1a5,indice_valor_agregado_1a5,margem_media_percentual,indice_complexidade_produtiva_1a5,indice_capex_1a5,indice_escalabilidade_1a5,indice_exigencia_regulatoria_1a5,certificacoes_principais,indice_compatibilidade_refugo_1a5,indice_compatibilidade_operacao_fazenda_1a5
AgroDoce Nordeste,220000000.0,Biogás / energia,B2B,Interno,5.0,3.0,31.13,3.0,3.0,3.0,3.0,ISO/HACCP,5.0,4.0
Kerry do Brasil,9000000000.0,Fibra alimentar de manga,B2B,Interno,5.0,3.0,31.13,4.0,1.0,3.0,2.0,Nenhuma,3.0,1.0
JBS Ingredients,375000000000.0,Pó de manga (spray-dried),B2B,Interno,3.0,3.0,21.75,2.0,3.0,4.0,2.0,ANVISA,4.0,3.0
TropFruit Ingredients,650000000.0,Molho agridoce / culinário,B2C,Interno,4.0,2.5,35.52,2.0,2.0,4.0,3.0,MAPA,2.0,1.0
Kerry do Brasil,9000000000.0,nao informado,B2C,Ambos,1.0,2.5,22.83,3.0,4.0,3.0,2.0,nao informado,1.0,2.0
Fazenda Sol do Vale,180000000.0,Corante natural,B2C,Ambos,4.0,2.5,26.53,3.0,4.0,4.0,2.0,nao informado,1.0,1.0
NordFruit Export,540000000.0,nao informado,B2B,Interno,2.0,4.0,23.97,3.0,3.0,2.0,5.0,MAPA,3.0,3.0
nao informado,115000000000.0,Purê de manga asséptico,B2B,Ambos,3.0,3.0,38.82,4.0,3.0,2.0,3.0,MAPA,4.0,2.0
Duas Rodas,4200000000.0,Corante natural,B2C,Interno,2.0,2.5,13.99,2.0,4.0,3.0,3.0,nao informado,2.0,3.0
Cargill Brasil,115000000000.0,Biocomposto / fertilizante orgânico,B2B,Interno,3.0,3.0,27.93,4.0,3.0,3.0,2.0,ANVISA,2.0,2.0
Cutrale,30000000000.0,Corante natural,B2B,Interno,3.0,2.0,21.35,2.0,2.0,2.0,2.0,ISO/HACCP,5.0,1.0
MangaVale Alimentos,480000000.0,Snack de manga desidratada,B2B,Interno,4.0,2.5,19.42,1.0,4.0,3.0,4.0,MAPA,5.0,1.0
JBS Ingredients,375000000000.0,Snack de manga desidratada,B2C,Ambos,2.0,3.5,15.87,3.0,2.0,4.0,4.0,Nenhuma,2.0,5.0
Kerry do Brasil,9000000000.0,Aroma / extrato natural,B2B,Interno,3.0,3.0,25.77,5.0,2.0,5.0,1.0,ISO/HACCP,1.0,2.0
Fazenda Sol do Vale,180000000.0,Suco pronto (NFC),B2B,Interno,4.0,3.0,22.18,2.0,3.0,3.0,2.0,ISO/HACCP,2.0,2.0
AgroDoce Nordeste,220000000.0,Corante natural,B2C,Interno,2.0,3.0,35.26,5.0,3.0,2.0,1.0,Nenhuma,1.0,4.0
JBS Ingredients,375000000000.0,Polpa congelada,B2C,Interno,4.0,2.5,16.03,3.0,2.0,2.0,2.0,Nenhuma,2.0,4.0
Cargill Brasil,4200000000.0,Ração / ingrediente para ração animal,B2C,Interno,3.0,3.0,39.83,3.0,1.0,1.0,3.0,ISO/HACCP,1.0,1.0
BRF Ingredients,53000000000.0,Bebida alcoólica / fermentado,B2B,Ambos,4.0,3.0,30.23,4.0,4.0,4.0,2.0,MAPA,1.0,2.0
MangaTech Foods,760000000.0,Manga desidratada em pedaços,nao informado,Ambos,2.0,4.0,41.23,5.0,4.0,2.0,3.0,ANVISA,4.0,2.0
Louis Dreyfus Company Brasil,18000000000.0,nao informado,B2B,Interno,4.0,4.0,49.94,3.0,1.0,2.0,5.0,ISO/HACCP,4.0,1.0
Citrosuco,25000000000.0,Bebida alcoólica / fermentado,B2B,Ambos,3.0,3.0,30.18,3.0,4.0,2.0,3.0,Nenhuma,4.0,2.0
AgroDoce Nordeste,220000000.0,Sorbet / picolé,B2B,Interno,2.0,2.5,20.24,3.0,1.0,5.0,2.0,Internacional,4.0,2.0
Duas Rodas,4200000000.0,Aroma / extrato natural,B2B,Interno,3.0,1.5,39.32,1.0,2.0,3.0,2.0,MAPA,3.0,4.0
VerdePulp Brasil,310000000.0,Fibra alimentar de manga,nao informado,Ambos,5.0,3.0,20.75,4.0,5.0,3.0,2.0,Nenhuma,1.0,2.0
Kerry do Brasil,9000000000.0,Suco pronto (NFC),B2B,Ambos,4.0,3.0,33.47,3.0,2.0,4.0,3.0,Nenhuma,3.0,2.0
TropFruit Ingredients,650000000.0,Chutney de manga,B2B,Ambos,5.0,4.0,20.97,3.0,2.0,4.0,5.0,Internacional,1.0,3.0
Duas Rodas,4200000000.0,Geleia/compota,B2B,Interno,3.0,3.0,22.37,2.0,3.0,4.0,4.0,Nenhuma,1.0,4.0
BRF Ingredients,53000000000.0,Fibra alimentar de manga,B2B,Interno,3.0,4.5,30.98,4.0,1.0,3.0,5.0,ISO/HACCP,3.0,2.0
BioManga Circular,120000000.0,Base para néctar,B2B,Ambos,1.0,2.5,19.72,3.0,3.0,4.0,2.0,ANVISA,4.0,1.0
nao informado,310000000.0,Manga desidratada em pedaços,nao informado,Interno,4.0,2.5,25.55,1.0,5.0,3.0,4.0,ISO/HACCP,1.0,2.0
Cargill Brasil,4200000000.0,Molho agridoce / culinário,B2C,Interno,2.0,3.5,48.29,3.0,1.0,3.0,3.0,ISO/HACCP,1.0,4.0
Louis Dreyfus Company Brasil,18000000000.0,nao informado,B2B,Interno,1.0,2.0,15.2,2.0,4.0,5.0,2.0,ISO/HACCP,1.0,1.0
Ambev (bebidas),72000000000.0,Pó de manga (spray-dried),B2C,Ambos,1.0,2.5,27.16,2.0,4.0,2.0,3.0,nao informado,2.0,2.0
MangaTech Foods,760000000.0,Pectina,B2B,Interno,3.0,3.0,23.98,1.0,5.0,4.0,3.0,Nenhuma,4.0,2.0
BioManga Circular,120000000.0,Pó de manga (spray-dried),B2B,Interno,3.0,3.5,48.82,2.0,5.0,2.0,5.0,MAPA,3.0,4.0
Citrosuco,25000000000.0,Polpa congelada,B2B,Interno,3.0,3.0,42.49,2.0,2.0,3.0,4.0,nao informado,4.0,2.0
Bunge Brasil,95000000000.0,Polpa congelada,B2B,Interno,3.0,2.5,14.49,3.0,3.0,2.0,2.0,ANVISA,3.0,2.0
JBS Ingredients,375000000000.0,Fragrância para perfumaria,B2B,Externo,3.0,1.0,30.17,1.0,5.0,2.0,1.0,MAPA,2.0,3.0
Ambev (bebidas),72000000000.0,Suco pronto (NFC),B2B,Interno,5.0,3.5,20.44,5.0,2.0,3.0,2.0,MAPA,3.0,4.0
MangaTech Foods,760000000.0,Sabonete / hidratante com manga,B2B,Interno,3.0,2.5,17.11,1.0,3.0,4.0,4.0,ANVISA,1.0,1.0
BRF Ingredients,53000000000.0,Pó de manga (spray-dried),nao informado,Ambos,3.0,2.0,10.15,2.0,3.0,5.0,2.0,nao informado,1.0,2.0
Ambev (bebidas),72000000000.0,Concentrado de manga,B2C,Interno,2.0,2.0,21.77,3.0,4.0,3.0,1.0,Nenhuma,1.0,1.0
Cutrale,30000000000.0,Concentrado de manga,B2B,Externo,3.0,3.0,26.88,1.0,2.0,3.0,5.0,Internacional,5.0,3.0
BioManga Circular,120000000.0,Fibra alimentar de manga,B2B,Interno,4.0,2.5,17.52,2.0,3.0,4.0,3.0,ANVISA,3.0,2.0
Bunge Brasil,95000000000.0,Polpa congelada,B2B,Interno,3.0,3.0,14.39,3.0,3.0,3.0,3.0,ISO/HACCP,2.0,2.0
Bunge Brasil,95000000000.0,Molho agridoce / culinário,B2B,Interno,5.0,4.5,48.81,4.0,2.0,5.0,5.0,ANVISA,1.0,4.0
BRF Ingredients,4200000000.0,Manga desidratada em pedaços,B2C,Externo,2.0,2.5,40.22,4.0,3.0,2.0,1.0,MAPA,3.0,1.0
Ambev (bebidas),72000000000.0,Óleo / manteiga de semente de manga,B2B,Ambos,4.0,2.5,24.69,3.0,3.0,5.0,3.0,nao informado,2.0,3.0
MangaTech Foods,760000000.0,Ingrediente antioxidante,B2B,Externo,3.0,3.0,17.77,3.0,3.0,5.0,3.0,MAPA,3.0,5.0
Cutrale,30000000000.0,Esfoliante natural,B2B,Externo,2.0,4.0,46.41,4.0,5.0,4.0,4.0,MAPA,2.0,2.0
JBS Ingredients,375000000000.0,Fragrância para perfumaria,nao informado,Externo,2.0,2.5,17.42,2.0,3.0,2.0,3.0,Nenhuma,1.0,3.0
MangaVale Alimentos,480000000.0,Biogás / energia,B2C,nao informado,2.0,3.0,45.17,1.0,2.0,3.0,5.0,ISO/HACCP,2.0,3.0
Cargill Brasil,115000000000.0,Suco pronto (NFC),B2B,Interno,1.0,2.5,33.34,3.0,3.0,3.0,2.0,ANVISA,1.0,1.0
nao informado,72000000000.0,Purê de manga asséptico,B2C,Externo,2.0,3.5,29.95,3.0,3.0,3.0,4.0,MAPA,4.0,2.0
Kerry do Brasil,9000000000.0,Cubos IQF,B2B,Ambos,2.0,3.0,26.61,4.0,3.0,2.0,2.0,ANVISA,3.0,1.0
Ambev (bebidas),72000000000.0,Bebida alcoólica / fermentado,B2B,Interno,3.0,3.0,20.87,4.0,5.0,3.0,2.0,ANVISA,2.0,2.0
JBS Ingredients,375000000000.0,Suco pronto (NFC),B2C,Interno,3.0,2.5,14.75,4.0,4.0,3.0,1.0,MAPA,4.0,5.0
Louis Dreyfus Company Brasil,18000000000.0,Fragrância para perfumaria,B2B,Interno,1.0,3.0,27.29,5.0,2.0,3.0,1.0,MAPA,2.0,5.0
BRF Ingredients,53000000000.0,Biogás / energia,B2C,Externo,3.0,2.5,23.83,2.0,2.0,3.0,3.0,Internacional,1.0,3.0
Cargill Brasil,115000000000.0,Manga desidratada em pedaços,B2B,Interno,3.0,1.5,35.61,1.0,1.0,5.0,2.0,ANVISA,4.0,3.0
TropFruit Ingredients,650000000.0,Polpa congelada,B2B,Interno,1.0,4.0,16.94,5.0,3.0,4.0,3.0,ANVISA,2.0,2.0
Ambev (bebidas),72000000000.0,Polpa congelada,B2B,Interno,3.0,3.0,32.8,4.0,4.0,3.0,2.0,MAPA,3.0,1.0
Cargill Brasil,115000000000.0,Subproduto industrial de bagaço processado,B2B,Interno,2.0,2.5,11.84,2.0,3.0,2.0,3.0,ISO/HACCP,4.0,2.0
Citrosuco,25000000000.0,Fragrância para perfumaria,B2B,Ambos,2.0,2.0,33.94,3.0,3.0,5.0,1.0,ANVISA,1.0,2.0
MangaVale Alimentos,480000000.0,Base para néctar,B2B,Externo,2.0,4.5,27.93,4.0,2.0,3.0,5.0,ISO/HACCP,4.0,3.0
MangaVale Alimentos,480000000.0,Corante natural,B2B,Interno,4.0,2.5,25.38,4.0,4.0,5.0,1.0,ISO/HACCP,1.0,2.0
Bunge Brasil,95000000000.0,Sabonete / hidratante com manga,B2C,Interno,4.0,3.5,18.04,2.0,3.0,3.0,5.0,Nenhuma,2.0,5.0
Cutrale,30000000000.0,Sorbet / picolé,B2B,Interno,4.0,3.0,15.38,3.0,4.0,3.0,3.0,ISO/HACCP,2.0,4.0
BRF Ingredients,53000000000.0,Manga desidratada em pedaços,B2C,Interno,4.0,2.5,13.42,1.0,4.0,4.0,4.0,Internacional,3.0,4.0
BRF Ingredients,53000000000.0,Sorbet / picolé,B2C,Interno,2.0,4.0,34.54,4.0,3.0,2.0,4.0,ISO/HACCP,2.0,1.0
BRF Ingredients,53000000000.0,Subproduto industrial de bagaço processado,B2B,Externo,2.0,4.0,42.12,4.0,1.0,1.0,4.0,MAPA,1.0,4.0
MangaTech Foods,760000000.0,Esfoliante natural,nao informado,Interno,4.0,2.5,12.57,3.0,4.0,1.0,2.0,Nenhuma,3.0,1.0
Louis Dreyfus Company Brasil,18000000000.0,Ingrediente antioxidante,B2C,Interno,4.0,2.5,18.47,3.0,1.0,4.0,2.0,ANVISA,3.0,3.0
TropFruit Ingredients,650000000.0,Base para néctar,B2B,Interno,2.0,3.0,24.11,2.0,1.0,4.0,2.0,ANVISA,3.0,2.0
Ambev (bebidas),72000000000.0,Concentrado de manga,B2B,Externo,3.0,3.0,14.71,4.0,2.0,4.0,2.0,Internacional,1.0,2.0
TropFruit Ingredients,650000000.0,Chutney de manga,B2C,Ambos,1.0,3.0,37.04,3.0,3.0,3.0,3.0,Nenhuma,2.0,2.0
VerdePulp Brasil,310000000.0,Sorbet / picolé,B2C,Interno,3.0,3.5,34.65,4.0,4.0,2.0,3.0,Nenhuma,1.0,3.0
Citrosuco,25000000000.0,Óleo / manteiga de semente de manga,B2B,nao informado,1.0,3.5,27.8,3.0,4.0,5.0,4.0,ANVISA,3.0,3.0
nao informado,30000000000.0,Concentrado de manga,B2B,Ambos,3.0,2.5,33.17,3.0,2.0,3.0,2.0,Nenhuma,2.0,2.0
Fazenda Sol do Vale,180000000.0,Molho agridoce / culinário,B2B,Externo,3.0,3.5,33.1,4.0,5.0,2.0,3.0,Internacional,3.0,3.0
Duas Rodas,4200000000.0,Sorbet / picolé,B2B,Ambos,3.0,3.5,30.91,4.0,1.0,4.0,3.0,Nenhuma,1.0,2.0
Cargill Brasil,115000000000.0,Manga desidratada em pedaços,B2B,Interno,2.0,3.0,37.35,5.0,3.0,2.0,1.0,nao informado,1.0,1.0
Bunge Brasil,95000000000.0,Base cosmética (extrato),B2B,Interno,2.0,2.0,27.93,3.0,3.0,4.0,1.0,MAPA,2.0,3.0
Duas Rodas,4200000000.0,Snack de manga desidratada,B2B,Interno,4.0,3.5,24.86,4.0,3.0,3.0,3.0,ANVISA,3.0,2.0
Bunge Brasil,95000000000.0,Manga desidratada em pedaços,B2C,Externo,2.0,2.0,20.37,3.0,3.0,4.0,1.0,ISO/HACCP,1.0,2.0
AgroDoce Nordeste,220000000.0,Fragrância para perfumaria,B2B,Interno,4.0,3.5,24.95,4.0,2.0,3.0,3.0,MAPA,4.0,5.0
Citrosuco,25000000000.0,Biogás / energia,B2B,Ambos,3.0,3.0,34.31,3.0,3.0,3.0,3.0,Nenhuma,3.0,3.0
NordFruit Export,540000000.0,Purê de manga asséptico,B2C,Interno,3.0,2.5,27.93,3.0,1.0,3.0,2.0,ANVISA,2.0,3.0
Bunge Brasil,95000000000.0,Manga desidratada em pedaços,B2B,Externo,1.0,3.0,23.35,4.0,2.0,3.0,2.0,Nenhuma,3.0,3.0
Bunge Brasil,95000000000.0,Base cosmética (extrato),B2B,Ambos,2.0,2.0,26.51,2.0,1.0,4.0,2.0,ISO/HACCP,4.0,2.0
MangaTech Foods,760000000.0,nao informado,B2B,Externo,4.0,3.5,20.49,5.0,4.0,4.0,2.0,ISO/HACCP,1.0,2.0
Bunge Brasil,95000000000.0,Pectina,B2B,Externo,2.0,3.5,35.6,5.0,1.0,3.0,2.0,Internacional,2.0,1.0
Bunge Brasil,95000000000.0,Chutney de manga,B2B,Externo,2.0,3.0,33.43,4.0,1.0,2.0,2.0,Nenhuma,2.0,5.0
Ambev (bebidas),72000000000.0,Geleia/compota,B2B,Interno,3.0,2.5,14.58,2.0,2.0,3.0,3.0,Nenhuma,4.0,2.0
Cargill Brasil,115000000000.0,Ingrediente antioxidante,B2B,nao informado,2.0,1.5,17.05,2.0,4.0,2.0,1.0,ISO/HACCP,2.0,1.0
Fazenda Sol do Vale,180000000.0,Suco pronto (NFC),B2B,Ambos,5.0,3.0,27.93,2.0,2.0,3.0,4.0,MAPA,2.0,5.0
NordFruit Export,540000000.0,Chutney de manga,B2B,Externo,4.0,4.5,44.19,5.0,1.0,3.0,4.0,Nenhuma,1.0,5.0
MangaTech Foods,760000000.0,Fragrância para perfumaria,B2B,nao informado,5.0,4.0,14.65,4.0,3.0,3.0,4.0,ISO/HACCP,4.0,2.0
MangaTech Foods,760000000.0,Molho agridoce / culinário,B2C,Interno,2.0,2.0,28.77,2.0,2.0,4.0,2.0,ANVISA,1.0,3.0
Louis Dreyfus Company Brasil,18000000000.0,Biogás / energia,B2B,Interno,2.0,4.0,43.96,5.0,3.0,1.0,3.0,Nenhuma,4.0,2.0
nao informado,310000000.0,Base para néctar,B2C,Externo,3.0,3.0,34.93,2.0,1.0,2.0,4.0,Nenhuma,2.0,5.0
Louis Dreyfus Company Brasil,18000000000.0,Pó de manga (spray-dried),B2B,Ambos,3.0,3.5,44.3,3.0,3.0,2.0,4.0,ISO/HACCP,3.0,1.0
BRF Ingredients,53000000000.0,Ração / ingrediente para ração animal,B2B,Ambos,3.0,3.0,38.6,2.0,1.0,1.0,1.0,Nenhuma,4.0,2.0
Kerry do Brasil,9000000000.0,Bebida alcoólica / fermentado,B2B,Interno,1.0,1.5,13.98,2.0,2.0,3.0,1.0,ISO/HACCP,4.0,3.0
BioManga Circular,120000000.0,Manga desidratada em pedaços,B2B,Externo,2.0,2.5,37.14,2.0,3.0,3.0,3.0,Internacional,4.0,4.0
Kerry do Brasil,9000000000.0,Suco pronto (NFC),B2B,Interno,3.0,3.5,46.92,4.0,2.0,2.0,3.0,MAPA,2.0,1.0
NordFruit Export,540000000.0,Polpa congelada,B2B,nao informado,2.0,2.0,11.28,1.0,2.0,3.0,3.0,MAPA,2.0,1.0
Cutrale,30000000000.0,Molho agridoce / culinário,B2B,Interno,1.0,2.0,13.08,2.0,3.0,3.0,2.0,ISO/HACCP,1.0,1.0
VerdePulp Brasil,310000000.0,nao informado,B2B,Ambos,4.0,4.0,30.04,5.0,2.0,4.0,3.0,Nenhuma,4.0,2.0
AgroDoce Nordeste,220000000.0,Cubos IQF,B2B,Externo,1.0,4.0,18.51,5.0,4.0,4.0,3.0,ANVISA,1.0,4.0
BRF Ingredients,53000000000.0,Chutney de manga,B2B,nao informado,2.0,4.0,40.75,3.0,2.0,2.0,3.0,MAPA,1.0,3.0
JBS Ingredients,375000000000.0,Aroma / extrato natural,B2B,Externo,1.0,3.0,42.39,5.0,4.0,2.0,1.0,ANVISA,4.0,1.0
Louis Dreyfus Company Brasil,18000000000.0,Esfoliante natural,B2B,Interno,5.0,2.5,15.21,2.0,3.0,2.0,3.0,MAPA,4.0,3.0
BRF Ingredients,53000000000.0,Base cosmética (extrato),nao informado,Externo,4.0,2.5,25.54,2.0,3.0,4.0,3.0,MAPA,1.0,4.0
NordFruit Export,540000000.0,Biogás / energia,B2C,Interno,2.0,3.5,35.85,3.0,1.0,5.0,4.0,Internacional,1.0,1.0
nao informado,53000000000.0,Esfoliante natural,B2B,Ambos,2.0,4.0,35.7,5.0,4.0,3.0,3.0,MAPA,5.0,2.0
BioManga Circular,4200000000.0,Ingrediente antioxidante,B2B,Ambos,3.0,3.0,24.48,1.0,1.0,5.0,2.0,ANVISA,4.0,4.0
Louis Dreyfus Company Brasil,18000000000.0,Óleo / manteiga de semente de manga,B2B,Ambos,2.0,2.5,15.75,4.0,3.0,3.0,1.0,MAPA,4.0,3.0
NordFruit Export,540000000.0,Snack de manga desidratada,B2C,Ambos,4.0,3.0,22.73,3.0,1.0,2.0,5.0,ISO/HACCP,3.0,2.0
Ambev (bebidas),4200000000.0,Molho agridoce / culinário,B2B,Ambos,2.0,3.5,23.99,4.0,3.0,3.0,3.0,Nenhuma,1.0,4.0
AgroDoce Nordeste,220000000.0,Ração / ingrediente para ração animal,B2B,Externo,5.0,3.0,42.16,3.0,2.0,3.0,3.0,ISO/HACCP,1.0,3.0
JBS Ingredients,375000000000.0,Fibra alimentar de manga,B2B,Interno,3.0,4.0,28.94,3.0,1.0,2.0,5.0,ANVISA,2.0,1.0
BRF Ingredients,53000000000.0,nao informado,B2B,Interno,5.0,3.0,42.22,2.0,2.0,3.0,4.0,ANVISA,1.0,4.0
Bunge Brasil,95000000000.0,Fibra alimentar de manga,B2B,Interno,3.0,1.5,20.71,2.0,3.0,3.0,1.0,Nenhuma,2.0,2.0
nao informado,310000000.0,Sorbet / picolé,B2C,Ambos,2.0,4.0,34.76,4.0,3.0,3.0,4.0,MAPA,2.0,4.0
Citrosuco,25000000000.0,Pó de manga (spray-dried),nao informado,Interno,2.0,4.0,46.48,4.0,4.0,2.0,4.0,MAPA,3.0,3.0
BRF Ingredients,53000000000.0,Sorbet / picolé,B2C,Interno,2.0,3.0,36.52,4.0,1.0,3.0,2.0,ANVISA,1.0,3.0
AgroDoce Nordeste,220000000.0,Ingrediente antioxidante,B2C,Externo,2.0,3.5,41.63,3.0,2.0,1.0,4.0,Nenhuma,1.0,5.0
Fazenda Sol do Vale,180000000.0,nao informado,B2B,Ambos,2.0,2.5,14.67,2.0,5.0,4.0,3.0,ANVISA,5.0,2.0
Citrosuco,25000000000.0,nao informado,B2C,Interno,3.0,2.5,15.34,1.0,3.0,4.0,4.0,Internacional,1.0,3.0
TropFruit Ingredients,650000000.0,Base cosmética (extrato),B2C,Ambos,3.0,1.5,18.43,1.0,4.0,4.0,3.0,MAPA,4.0,1.0
VerdePulp Brasil,310000000.0,Base para néctar,B2B,Externo,3.0,3.5,38.34,4.0,2.0,3.0,3.0,Nenhuma,2.0,3.0
TropFruit Ingredients,650000000.0,Chutney de manga,B2B,Ambos,3.0,2.0,11.6,3.0,1.0,3.0,1.0,Nenhuma,1.0,2.0
MangaTech Foods,760000000.0,Fibra alimentar de manga,B2C,Externo,5.0,3.0,41.54,3.0,3.0,2.0,3.0,ANVISA,2.0,2.0
BRF Ingredients,53000000000.0,Óleo / manteiga de semente de manga,B2B,Ambos,2.0,3.0,19.65,4.0,2.0,3.0,2.0,MAPA,1.0,1.0
nao informado,760000000.0,Ingrediente antioxidante,B2B,Externo,3.0,3.5,18.29,3.0,3.0,4.0,3.0,Internacional,2.0,1.0
JBS Ingredients,375000000000.0,Sorbet / picolé,B2B,Externo,2.0,3.0,42.24,3.0,4.0,3.0,5.0,MAPA,3.0,2.0
AgroDoce Nordeste,220000000.0,nao informado,B2C,Interno,4.0,4.0,25.55,4.0,5.0,4.0,4.0,Nenhuma,1.0,4.0
Cutrale,30000000000.0,nao informado,nao informado,Ambos,2.0,3.0,11.08,3.0,2.0,3.0,3.0,ANVISA,1.0,2.0
MangaTech Foods,760000000.0,Concentrado de manga,B2B,Externo,4.0,4.0,48.98,3.0,3.0,2.0,5.0,MAPA,4.0,1.0
Duas Rodas,4200000000.0,Molho agridoce / culinário,B2B,Interno,3.0,2.0,24.59,1.0,3.0,3.0,3.0,Nenhuma,2.0,2.0
VerdePulp Brasil,310000000.0,Concentrado de manga,B2B,Interno,2.0,3.0,44.68,2.0,4.0,4.0,3.0,MAPA,2.0,4.0
MangaTech Foods,760000000.0,Corante natural,B2B,Ambos,1.0,2.0,38.14,1.0,5.0,4.0,3.0,MAPA,2.0,2.0
Bunge Brasil,4200000000.0,Biogás / energia,nao informado,Interno,4.0,1.0,15.17,1.0,4.0,4.0,1.0,Nenhuma,4.0,1.0
Citrosuco,25000000000.0,Sabonete / hidratante com manga,B2B,Interno,5.0,1.5,27.93,1.0,3.0,2.0,2.0,Nenhuma,1.0,3.0
Ambev (bebidas),72000000000.0,Snack de manga desidratada,B2B,Ambos,3.0,3.0,16.84,3.0,2.0,4.0,3.0,nao informado,1.0,4.0
Ambev (bebidas),72000000000.0,Suco pronto (NFC),B2B,Ambos,2.0,2.5,22.96,2.0,4.0,3.0,3.0,MAPA,3.0,2.0
BRF Ingredients,53000000000.0,Ingrediente antioxidante,B2B,nao informado,5.0,3.0,41.38,2.0,3.0,3.0,3.0,ANVISA,1.0,1.0
Cargill Brasil,115000000000.0,Base cosmética (extrato),B2B,Externo,3.0,5.0,32.46,5.0,2.0,4.0,5.0,nao informado,1.0,2.0
Cutrale,30000000000.0,Concentrado de manga,B2B,Interno,1.0,4.5,40.12,4.0,3.0,1.0,5.0,Nenhuma,1.0,2.0
BRF Ingredients,53000000000.0,Bebida alcoólica / fermentado,B2B,Ambos,3.0,2.5,31.7,3.0,5.0,2.0,2.0,Nenhuma,3.0,1.0
Fazenda Sol do Vale,180000000.0,Sorbet / picolé,B2B,Externo,5.0,3.0,11.88,1.0,4.0,5.0,5.0,MAPA,4.0,3.0
Citrosuco,25000000000.0,Esfoliante natural,B2C,Externo,3.0,2.5,39.08,4.0,1.0,3.0,1.0,Internacional,1.0,2.0
VerdePulp Brasil,310000000.0,Fibra alimentar de manga,B2B,Interno,4.0,4.0,47.31,3.0,1.0,1.0,5.0,ISO/HACCP,2.0,1.0
Cutrale,30000000000.0,Fragrância para perfumaria,B2C,Interno,3.0,2.5,39.02,1.0,1.0,2.0,4.0,MAPA,4.0,1.0
Fazenda Sol do Vale,180000000.0,nao informado,B2B,Ambos,5.0,4.5,44.21,4.0,3.0,5.0,5.0,Nenhuma,1.0,4.0
MangaVale Alimentos,480000000.0,Sorbet / picolé,B2B,Ambos,2.0,3.0,40.71,3.0,3.0,3.0,3.0,Internacional,1.0,1.0
VerdePulp Brasil,310000000.0,Manga desidratada em pedaços,B2B,Ambos,3.0,3.0,31.64,3.0,4.0,3.0,3.0,MAPA,1.0,1.0
nao informado,540000000.0,Suco pronto (NFC),B2B,Externo,4.0,3.0,27.93,4.0,3.0,3.0,2.0,MAPA,1.0,3.0
AgroDoce Nordeste,220000000.0,nao informado,B2B,Ambos,3.0,2.5,19.25,3.0,5.0,1.0,2.0,MAPA,1.0,3.0
MangaTech Foods,760000000.0,Subproduto industrial de bagaço processado,B2B,Interno,2.0,3.0,15.03,5.0,4.0,4.0,1.0,MAPA,1.0,1.0
MangaTech Foods,760000000.0,Polpa congelada,B2B,Interno,2.0,2.0,17.29,2.0,1.0,3.0,2.0,Nenhuma,2.0,2.0
Bunge Brasil,95000000000.0,Esfoliante natural,nao informado,Interno,3.0,3.0,27.46,1.0,2.0,4.0,5.0,ANVISA,4.0,1.0
Ambev (bebidas),4200000000.0,Fibra alimentar de manga,B2B,Interno,3.0,3.0,40.12,3.0,2.0,3.0,3.0,ISO/HACCP,2.0,3.0
Cutrale,30000000000.0,Molho agridoce / culinário,B2C,Interno,5.0,3.0,45.9,3.0,1.0,3.0,3.0,MAPA,1.0,1.0
BioManga Circular,120000000.0,Suco pronto (NFC),B2B,Interno,2.0,2.0,13.62,2.0,4.0,3.0,2.0,ISO/HACCP,2.0,3.0
Kerry do Brasil,9000000000.0,Sabonete / hidratante com manga,B2B,Ambos,3.0,2.0,24.95,2.0,2.0,3.0,2.0,Nenhuma,2.0,5.0
Citrosuco,25000000000.0,Bebida alcoólica / fermentado,B2B,nao informado,2.0,2.0,35.27,3.0,3.0,3.0,1.0,Internacional,2.0,2.0
BioManga Circular,120000000.0,Ração / ingrediente para ração animal,B2B,Ambos,4.0,3.5,45.66,4.0,2.0,5.0,3.0,nao informado,1.0,2.0
nao informado,650000000.0,Cubos IQF,B2B,Interno,3.0,3.5,30.1,4.0,2.0,4.0,3.0,Internacional,3.0,5.0
Duas Rodas,4200000000.0,Fragrância para perfumaria,B2B,Ambos,3.0,3.0,30.52,4.0,1.0,2.0,3.0,MAPA,4.0,2.0
nao informado,30000000000.0,Concentrado de manga,B2C,nao informado,3.0,3.5,24.52,5.0,3.0,3.0,2.0,MAPA,3.0,2.0
AgroDoce Nordeste,220000000.0,Base para néctar,B2C,Interno,3.0,3.5,17.52,3.0,3.0,5.0,4.0,Nenhuma,1.0,2.0
VerdePulp Brasil,4200000000.0,Biocomposto / fertilizante orgânico,B2B,Externo,3.0,2.5,18.25,1.0,3.0,3.0,4.0,ANVISA,1.0,5.0
Bunge Brasil,95000000000.0,Subproduto industrial de bagaço processado,B2B,nao informado,4.0,2.0,18.37,2.0,5.0,2.0,2.0,Internacional,1.0,2.0
Kerry do Brasil,9000000000.0,Suco pronto (NFC),nao informado,Ambos,1.0,4.0,27.93,5.0,3.0,4.0,3.0,Nenhuma,1.0,2.0
NordFruit Export,540000000.0,Concentrado de manga,B2B,Ambos,2.0,4.5,27.93,5.0,1.0,3.0,4.0,MAPA,3.0,1.0
Ambev (bebidas),72000000000.0,Polpa congelada,B2B,Externo,2.0,4.0,23.8,4.0,2.0,2.0,4.0,nao informado,4.0,2.0
